001egcaim5vm4sska12do9094,7140527,6010054,2000-01-01,"Johnson et al.",A,US,"cited by other",66
001f1wf1r2ec9zoblkm8jx316,9093102,6130863,2000-10-01,"Wang et al.",A,US,"cited by applicant",4
001f54vaiyvft0flyfnvf3vjq,8410585,6113473,2000-09-01,"Costantini et al.",A,US,"cited by applicant",191
001f8n1ch5noxzeir1ehxo5f6,7120136,6160804,2000-12-01,"Ahmed et al.",A,US,"cited by examiner",1
001g9tv65marw9q3w4f8f24y4,D632146,6085503,2000-07-01,Hutchinson,A,US,"cited by examiner",16
001gcfr9oes4fyb3hkensrgl2,8658111,6106685,2000-08-01,"McBride et al.",A,US,"cited by applicant",8
001gr7dl68dj2mp3opg5grsj9,8637089,6123756,2000-09-01,"Poppen et al.",A,US,"cited by applicant",108
001gx4apqjrdjo45kdol4x9uy,7133792,6104913,2000-08-01,McAllister,A,US,"cited by other",18
001hlu7rwnhqsf7m38a1yv4jv,8190226,6126613,2000-10-01,"Edwards et al.",A,US,"cited by other",42
001hng4bugw0afch56y2sl9kn,8519478,6096618,2000-08-01,"Dunn et al.",A,US,"cited by applicant",3
001hr3xbcfofgr6dxv50shuqi,7887476,6013019,2000-01-01,"Fischell et al.",A,US,"cited by other",48
001htf5t11cnrydz5wzm2yrnq,7322737,6127631,2000-10-01,"Green et al.",A,US,"cited by examiner",5
001i3a3e65mm35gqwbl9ujm84,7565596,6131165,2000-10-01,"Lipkin et al.",A,US,"cited by other",30
001jx8o0mar6ilto9c0nhjnum,7876413,6124604,2000-09-01,"Koyama et al.",A,US,"cited by other",30
001k2b8ua5ofaqn5rg4e8o8cy,D467723,D432776,2000-10-01,McDowell,S,US,"cited by examiner",40
001l4pe5kglr8bu7dzo36rkdh,D454284,D423285,2000-04-01,Toffolon,S,US,"cited by examiner",2
001ly3loj4be63bmqymuvm0gc,8214147,6108558,2000-08-01,"Vanderspool, II",A,US,"cited by other",30
001mem99wteog53jsua57pvjw,8167145,6127512,2000-10-01,"Asrar et al.",A,US,"cited by other",25
001mk1rdv1jgdkv6eja4bkuaa,7963819,6039627,2000-03-01,Forbes,A,US,"cited by other",68
001mn6wapwjx2s0y329owwojt,9159791,6144538,2000-11-01,Chao,A,US,"cited by applicant",17
001myl7obc64k5f65mwotsvl4,7730153,6044444,2000-03-01,Ofek,A,US,"cited by examiner",24
001nai16nbs8s0xq3ixsdtbm1,7097793,6018095,2000-01-01,"Lerch et al.",A,US,"cited by other",57
001nqftxd0lr8ojit98s7l5ew,8905914,6067991,2000-05-01,Forsell,A,US,"cited by applicant",2
001o07g5z7x7tzgjk8cle9ibm,6818001,6146395,2000-11-01,"Kanz et al.",A,US,"cited by other",58
001o5u4lq63wqliuvrw1b1n6g,9339618,6039731,2000-03-01,"Taylor et al.",A,US,"cited by applicant",407
001ocqxvcm6o6hzlixemei855,6904252,6052550,2000-04-01,"Thornton et al.",A,US,"cited by examiner",0
001p4gtxqg7cgznfkck0jx64f,9032166,6079008,2000-06-01,"Clery, III",A,US,"cited by applicant",78
001p5v482jgk7l0dwtk8yzbw9,8188113,6080763,2000-06-01,"Regan et al.",A,US,"cited by other",19
001p8567r8zla7eyzwb9se1l7,7888262,6064118,2000-05-01,Sasaki,A,US,"cited by other",0
001pobr0jl43i0nzec33emprd,8747238,6024748,2000-02-01,"Manzo et al.",A,US,"cited by applicant",691
001pwtu2q3y433pwn9z5r7xez,8641644,6155992,2000-12-01,Henning,A,US,"cited by applicant",729
001q1z912zyxitr1d3otxewkc,7687482,6057306,2000-05-01,"Wilson et al.",A,US,"cited by other",20
001rgx86ipmvio5dwplj5i95w,D474954,D426560,2000-06-01,"Texler et al.",S,US,"cited by examiner",16
